trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
129,False,"{'a': 0.2, 'e': 0.5246625421065929}",20,0,18.486237284013004,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
130,False,"{'a': 0.2, 'e': 0.522045776761016}",20,0,18.015023566750344,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
131,False,"{'a': 0.2, 'e': 0.5194420625870482}",25,0,26.89601936320174,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
132,False,"{'a': 0.2, 'e': 0.5168513344916992}",20,5,23.212012372984535,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.2, 'e': 0.5142735277066319}",20,0,21.49369928769652,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
134,False,"{'a': 0.2, 'e': 0.5117085777865424}",25,0,6.327940310104329,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
135,False,"{'a': 0.2, 'e': 0.5091564206075492}",25,0,26.17195304516185,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
136,False,"{'a': 0.2, 'e': 0.5066169923655895}",25,0,25.24355162133203,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
137,False,"{'a': 0.2, 'e': 0.5040902295748255}",20,0,20.878719999524066,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
138,False,"{'a': 0.2, 'e': 0.5015760690660555}",30,0,27.348102760968686,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
139,False,"{'a': 0.2, 'e': 0.49907444798513595}",30,0,33.29505216202982,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
140,False,"{'a': 0.2, 'e': 0.49658530379140947}",25,0,19.54384944279964,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
141,False,"{'a': 0.2, 'e': 0.4941085742561417}",25,0,30.160582685681685,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
142,False,"{'a': 0.2, 'e': 0.4916441974609651}",20,0,26.525409675200788,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
143,False,"{'a': 0.2, 'e': 0.48919211179633154}",25,18,11.589742987747076,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.2, 'e': 0.4867522559599717}",20,0,-16.626516185177483,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
145,False,"{'a': 0.2, 'e': 0.48432456895536247}",25,0,24.644596921399422,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
146,False,"{'a': 0.2, 'e': 0.48190899009020244}",25,0,19.605630013986993,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
147,False,"{'a': 0.2, 'e': 0.4795054589748941}",20,0,23.310589175280484,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
148,False,"{'a': 0.2, 'e': 0.4771139155210344}",20,4,18.060316592962394,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.2, 'e': 0.4747342999399124}",20,0,-29.306384271034283,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
150,False,"{'a': 0.2, 'e': 0.4723665527410147}",20,5,-23.57550860497258,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
151,False,"{'a': 0.2, 'e': 0.47001061473053796}",25,0,28.381917276483513,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
152,False,"{'a': 0.2, 'e': 0.46766642700990924}",25,0,20.005491186755826,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
153,False,"{'a': 0.2, 'e': 0.4653339309743134}",25,0,26.085158444487107,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 0.2, 'e': 0.46301306831122807}",30,0,35.278270049419085,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.2, 'e': 0.4607037809989658}",25,0,24.625920564642097,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
156,False,"{'a': 0.2, 'e': 0.4584060113052235}",20,0,15.61785701087524,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
157,False,"{'a': 0.2, 'e': 0.4561197017856392}",20,0,28.243950412397815,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
158,False,"{'a': 0.2, 'e': 0.45384479528235583}",25,0,5.71321362465021,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
159,False,"{'a': 0.2, 'e': 0.4515812349225922}",25,0,30.377245899576845,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
160,False,"{'a': 0.2, 'e': 0.44932896411722156}",25,0,-16.003348705034405,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
161,False,"{'a': 0.2, 'e': 0.4470879265593564}",20,1,-17.41257742828343,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
162,False,"{'a': 0.2, 'e': 0.4448580662229411}",20,0,-20.012463108751067,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
163,False,"{'a': 0.2, 'e': 0.4426393273613511}",30,7,28.288591705764578,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.2, 'e': 0.44043165450599925}",20,0,26.09864045078857,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
165,False,"{'a': 0.2, 'e': 0.4382349924649492}",30,0,-14.732294087826755,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
166,False,"{'a': 0.2, 'e': 0.43604928632153556}",25,0,-13.928161997648363,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
167,False,"{'a': 0.2, 'e': 0.4338744814329909}",35,0,38.84457498869833,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
168,False,"{'a': 0.2, 'e': 0.43171052342907973}",20,0,11.842405473128924,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
169,False,"{'a': 0.2, 'e': 0.42955735821073915}",20,0,17.09000483974903,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
170,False,"{'a': 0.2, 'e': 0.4274149319487267}",20,0,24.826547933379658,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
171,False,"{'a': 0.2, 'e': 0.42528319108227414}",20,0,5.301336185203691,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
172,False,"{'a': 0.2, 'e': 0.4231620823177488}",25,0,25.981368218901444,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.2, 'e': 0.4210515526273212}",20,0,26.113602526732485,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
174,False,"{'a': 0.2, 'e': 0.418951549247639}",20,0,27.672735114762315,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
175,False,"{'a': 0.2, 'e': 0.4168620196785084}",20,0,22.20505557340161,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
176,False,"{'a': 0.2, 'e': 0.4147829116815814}",30,0,26.296700157549015,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.2, 'e': 0.41271417327904963}",20,0,20.29854713897207,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
178,False,"{'a': 0.2, 'e': 0.4106557527523455}",25,0,28.37181167087968,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
179,False,"{'a': 0.2, 'e': 0.40860759864084845}",20,0,15.786412268751846,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
180,False,"{'a': 0.2, 'e': 0.4065696597405991}",30,20,14.766244630713182,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.2, 'e': 0.4045418851030188}",20,0,22.03840430730492,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
182,False,"{'a': 0.2, 'e': 0.40252422403363597}",20,1,20.052298764950187,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.2, 'e': 0.4005166260908188}",20,0,-20.911684847232145,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
